"Date (UTC)","Timestamp (UTC)","Price"
"12-21-2024 00:00","1734739203","0.635"
"12-22-2024 00:00","1734825604","0.45"
"12-23-2024 00:00","1734912004","0.495"
"12-24-2024 00:00","1734998403","0.57"
"12-25-2024 00:00","1735084803","0.58"
"12-26-2024 00:00","1735171204","0.53"
"12-27-2024 00:00","1735257603","0.52"
"12-28-2024 00:00","1735344003","0.52"
"12-29-2024 00:00","1735430403","0.57"
"12-30-2024 00:00","1735516803","0.565"
"12-31-2024 00:00","1735603204","0.555"
"01-01-2025 00:00","1735689604","0.555"
"01-02-2025 00:00","1735776003","0.52"
"01-03-2025 00:00","1735862404","0.47"
"01-04-2025 00:00","1735948803","0.475"
"01-05-2025 00:00","1736035203","0.485"
"01-06-2025 00:00","1736121603","0.465"
"01-07-2025 00:00","1736208004","0.465"
"01-08-2025 00:00","1736294403","0.475"
"01-09-2025 00:00","1736380803","0.46"
"01-10-2025 00:00","1736467204","0.445"
"01-11-2025 00:00","1736553604","0.585"
"01-12-2025 00:00","1736640004","0.54"
"01-13-2025 00:00","1736726404","0.555"
"01-14-2025 00:00","1736812803","0.57"
"01-15-2025 00:00","1736899203","0.605"
"01-16-2025 00:00","1736985604","0.575"
"01-17-2025 00:00","1737072004","0.58"
"01-18-2025 00:00","1737158404","0.53"
"01-19-2025 00:00","1737244804","0.565"
"01-20-2025 00:00","1737331204","0.565"
"01-21-2025 00:00","1737417603","0.55"
"01-22-2025 00:00","1737504003","0.61"
"01-23-2025 00:00","1737590404","0.53"
"01-24-2025 00:00","1737676803","0.535"
"01-25-2025 00:00","1737763205","0.595"
"01-26-2025 00:00","1737849604","0.565"
"01-27-2025 00:00","1737936004","0.54"
"01-28-2025 00:00","1738022404","0.53"
"01-29-2025 00:00","1738108804","0.525"
"01-30-2025 00:00","1738195205","0.515"
"01-31-2025 00:00","1738281604","0.475"
"02-01-2025 00:00","1738368005","0.455"
"02-02-2025 00:00","1738454404","0.475"
"02-03-2025 00:00","1738540805","0.48"
"02-04-2025 00:00","1738627204","0.495"
"02-05-2025 00:00","1738713604","0.47"
"02-06-2025 00:00","1738800005","0.46"
"02-07-2025 00:00","1738886404","0.555"
"02-08-2025 00:00","1738972804","0.525"
"02-09-2025 00:00","1739059206","0.525"
"02-10-2025 00:00","1739145605","0.525"
"02-11-2025 00:00","1739232004","0.545"
"02-12-2025 00:00","1739318404","0.49"
"02-13-2025 00:00","1739404804","0.665"
"02-14-2025 00:00","1739491205","0.595"
"02-15-2025 00:00","1739577604","0.59"
"02-16-2025 00:00","1739664004","0.725"
"02-17-2025 00:00","1739750404","0.82"
"02-18-2025 00:00","1739836804","0.825"
"02-19-2025 00:00","1739923204","0.74"
"02-20-2025 00:00","1740009604","0.725"
"02-21-2025 00:00","1740096005","0.685"
"02-22-2025 00:00","1740182405","0.575"
"02-23-2025 00:00","1740268804","0.62"
"02-24-2025 00:00","1740355204","0.625"
"02-24-2025 12:04","1740398644","0.635"
